event_id,model_key,model_label,model_id,stage,panel,component,window_type,cc,shift_samples,shift_s,sign,npts
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,ST,T,pick-based,0.6678031830620973,93,4.65,+,300
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,PZ,Z,pick-based,0.8037285282333384,76,3.8000000000000003,-,200
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,SZ,Z,pick-based,0.6307441553076839,-79,-3.95,+,300
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,PR,R,pick-based,0.9738763454865419,98,4.9,-,200
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,ST,T,pick-based,0.556968655389501,76,3.8000000000000003,-,300
S0185a,EventBest,Event best (MD_model78),MD_model78,raw,PZ,Z,pick-based,0.553735158091518,14,0.7000000000000001,+,200
S0185a,EventBest,Event best (MD_model78),MD_model78,raw,SZ,Z,pick-based,0.34575281852355577,-36,-1.8,-,300
S0185a,EventBest,Event best (MD_model78),MD_model78,raw,PR,R,pick-based,0.12025127577224343,56,2.8000000000000003,+,200
S0185a,EventBest,Event best (MD_model78),MD_model78,raw,ST,T,pick-based,0.08807762365387413,67,3.35,-,300
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_01_05,PZ,Z,pick-based,0.34994221398066094,-90,-4.5,+,200
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_01_05,SZ,Z,pick-based,0.1299320132309832,-31,-1.55,-,300
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_01_05,PR,R,pick-based,0.14421033402658134,-80,-4.0,-,200
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_01_05,ST,T,pick-based,0.15237096357659782,97,4.8500000000000005,+,300
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_01_08,PZ,Z,pick-based,0.5087286365927702,15,0.75,+,200
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_01_08,SZ,Z,pick-based,0.3974720061018777,97,4.8500000000000005,-,300
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_01_08,PR,R,pick-based,0.14106152016883486,56,2.8000000000000003,+,200
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_01_08,ST,T,pick-based,0.09483338562284482,32,1.6,-,300
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_03_09,PZ,Z,pick-based,0.7454883695304623,14,0.7000000000000001,+,200
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_03_09,SZ,Z,pick-based,0.4021004543037711,-37,-1.85,-,300
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_03_09,PR,R,pick-based,0.6367110501597872,39,1.9500000000000002,-,200
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_03_09,ST,T,pick-based,0.42623618851186884,-18,-0.9,+,300
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_03_09_pol,PZ,Z,pick-based,0.6774712618019563,15,0.75,+,200
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_03_09_pol,SZ,Z,pick-based,0.4646079618404014,-69,-3.45,-,300
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_03_09_pol,PR,R,pick-based,0.40472347365744055,71,3.5500000000000003,-,200
S0185a,EventBest,Event best (MD_model78),MD_model78,bp_03_09_pol,ST,T,pick-based,0.33208182554564775,-20,-1.0,+,300
S0234c,X,Model X,X,raw,PZ,Z,pick-based,0.4552098426054229,99,4.95,+,200
S0234c,X,Model X,X,raw,SZ,Z,pick-based,0.1185717782365566,35,1.75,+,300
S0234c,X,Model X,X,raw,PR,R,pick-based,0.8091297549840369,-63,-3.1500000000000004,-,200
S0234c,X,Model X,X,raw,ST,T,pick-based,0.2875328859233895,56,2.8000000000000003,-,300
S0234c,X,Model X,X,bp_01_05,PZ,Z,pick-based,0.20402963449935488,74,3.7,-,200
S0234c,X,Model X,X,bp_01_05,SZ,Z,pick-based,0.1535422529603156,95,4.75,-,300
S0234c,X,Model X,X,bp_01_05,PR,R,pick-based,0.19359704882632892,-93,-4.65,+,200
S0234c,X,Model X,X,bp_01_05,ST,T,pick-based,0.08028774301520962,-33,-1.6500000000000001,+,300
S0234c,X,Model X,X,bp_01_08,PZ,Z,pick-based,0.3331233577097764,97,4.8500000000000005,+,200
S0234c,X,Model X,X,bp_01_08,SZ,Z,pick-based,0.18470032195339328,-2,-0.1,+,300
S0234c,X,Model X,X,bp_01_08,PR,R,pick-based,0.7183167156937729,-63,-3.1500000000000004,-,200
S0234c,X,Model X,X,bp_01_08,ST,T,pick-based,0.2687721068716582,55,2.75,-,300
S0234c,X,Model X,X,bp_03_09,PZ,Z,pick-based,0.34719289617480587,99,4.95,+,200
S0234c,X,Model X,X,bp_03_09,SZ,Z,pick-based,0.29656768927073013,-91,-4.55,+,300
S0234c,X,Model X,X,bp_03_09,PR,R,pick-based,0.8817316481592479,-63,-3.1500000000000004,-,200
S0234c,X,Model X,X,bp_03_09,ST,T,pick-based,0.5398543640144843,55,2.75,-,300
S0234c,X,Model X,X,bp_03_09_pol,PZ,Z,pick-based,0.34936158508025145,99,4.95,+,200
S0234c,X,Model X,X,bp_03_09_pol,SZ,Z,pick-based,0.6844921779438597,8,0.4,+,300
S0234c,X,Model X,X,bp_03_09_pol,PR,R,pick-based,0.7830424056302604,-90,-4.5,-,200
S0234c,X,Model X,X,bp_03_09_pol,ST,T,pick-based,0.48536319849000636,-100,-5.0,+,300
S0234c,TAYAK,TAYAK,TAYAK,raw,PZ,Z,pick-based,0.24987366658972626,29,1.4500000000000002,-,200
S0234c,TAYAK,TAYAK,TAYAK,raw,SZ,Z,pick-based,0.11105950646593106,-19,-0.9500000000000001,+,300
S0234c,TAYAK,TAYAK,TAYAK,raw,PR,R,pick-based,0.137901967061798,100,5.0,-,200
S0234c,TAYAK,TAYAK,TAYAK,raw,ST,T,pick-based,0.2823317031652529,6,0.30000000000000004,-,300
S0234c,TAYAK,TAYAK,TAYAK,bp_01_05,PZ,Z,pick-based,0.27940575507236237,35,1.75,-,200
S0234c,TAYAK,TAYAK,TAYAK,bp_01_05,SZ,Z,pick-based,0.09385022464395106,79,3.95,+,300
S0234c,TAYAK,TAYAK,TAYAK,bp_01_05,PR,R,pick-based,0.18106160971616092,100,5.0,-,200
S0234c,TAYAK,TAYAK,TAYAK,bp_01_05,ST,T,pick-based,0.11596979286894878,-43,-2.15,+,300
S0234c,TAYAK,TAYAK,TAYAK,bp_01_08,PZ,Z,pick-based,0.29285325234995185,98,4.9,+,200
S0234c,TAYAK,TAYAK,TAYAK,bp_01_08,SZ,Z,pick-based,0.15083809615823948,-4,-0.2,-,300
S0234c,TAYAK,TAYAK,TAYAK,bp_01_08,PR,R,pick-based,0.1533748694622946,100,5.0,-,200
S0234c,TAYAK,TAYAK,TAYAK,bp_01_08,ST,T,pick-based,0.2714747628916404,-39,-1.9500000000000002,+,300
S0234c,TAYAK,TAYAK,TAYAK,bp_03_09,PZ,Z,pick-based,0.680595561606972,0,0.0,-,200
S0234c,TAYAK,TAYAK,TAYAK,bp_03_09,SZ,Z,pick-based,0.2860156262713298,11,0.55,+,300
