event_id,model_key,stage,panel,mean_cc,median_cc,mean_abs_shift_s,n_panels
S0133a,EventBest,raw,ST,0.2347650501122787,0.2347650501122787,0.15000000000000002,1
S0133a,EventBest,raw,SZ,0.5517125011642025,0.5517125011642025,1.5,1
S0133a,TAYAK,bp_01_05,PR,0.4007931633097499,0.4007931633097499,0.4,1
S0133a,TAYAK,bp_01_05,PZ,0.41324999126690876,0.41324999126690876,2.9000000000000004,1
S0133a,TAYAK,bp_01_05,ST,0.18254816137484717,0.18254816137484717,0.2,1
S0133a,TAYAK,bp_01_05,SZ,0.34236205286028565,0.34236205286028565,0.1,1
S0133a,TAYAK,bp_01_08,PR,0.27795674877310567,0.27795674877310567,0.45,1
S0133a,TAYAK,bp_01_08,PZ,0.7199040481391609,0.7199040481391609,4.5,1
S0133a,TAYAK,bp_01_08,ST,0.23685045963691032,0.23685045963691032,3.75,1
S0133a,TAYAK,bp_01_08,SZ,0.49118489252322295,0.49118489252322295,4.7,1
S0133a,TAYAK,bp_03_09,PR,0.7259103066863858,0.7259103066863858,0.4,1
S0133a,TAYAK,bp_03_09,PZ,0.6439057499079334,0.6439057499079334,4.6000000000000005,1
S0133a,TAYAK,bp_03_09,ST,0.5550531170582841,0.5550531170582841,0.0,1
S0133a,TAYAK,bp_03_09,SZ,0.5561115034846835,0.5561115034846835,4.65,1
S0133a,TAYAK,bp_03_09_pol,PR,0.5872294374536798,0.5872294374536798,0.4,1
S0133a,TAYAK,bp_03_09_pol,PZ,0.4934120761830189,0.4934120761830189,4.6000000000000005,1
S0133a,TAYAK,bp_03_09_pol,ST,0.7472117666123056,0.7472117666123056,2.75,1
S0133a,TAYAK,bp_03_09_pol,SZ,0.4519321306575383,0.4519321306575383,2.15,1
S0133a,TAYAK,raw,PR,0.29375785836208174,0.29375785836208174,4.45,1
S0133a,TAYAK,raw,PZ,0.4801446251659461,0.4801446251659461,4.6000000000000005,1
S0133a,TAYAK,raw,ST,0.2313713489801682,0.2313713489801682,3.95,1
S0133a,TAYAK,raw,SZ,0.48920940663647855,0.48920940663647855,4.65,1
S0133a,X,bp_01_05,PR,0.277000880871478,0.277000880871478,3.45,1
S0133a,X,bp_01_05,PZ,0.314768614733023,0.314768614733023,2.75,1
S0133a,X,bp_01_05,ST,0.10914711781282067,0.10914711781282067,0.55,1
S0133a,X,bp_01_05,SZ,0.5037112578920251,0.5037112578920251,2.4000000000000004,1
S0133a,X,bp_01_08,PR,0.39618918343406234,0.39618918343406234,4.4,1
S0133a,X,bp_01_08,PZ,0.2403815300788646,0.2403815300788646,2.0,1
S0133a,X,bp_01_08,ST,0.11167029092175877,0.11167029092175877,5.0,1
S0133a,X,bp_01_08,SZ,0.5432868413681619,0.5432868413681619,2.6500000000000004,1
S0133a,X,bp_03_09,PR,0.43124777386287566,0.43124777386287566,4.45,1
S0133a,X,bp_03_09,PZ,0.3875369770809779,0.3875369770809779,2.2,1
S0133a,X,bp_03_09,ST,0.4520096978634794,0.4520096978634794,4.05,1
S0133a,X,bp_03_09,SZ,0.5836902008096403,0.5836902008096403,0.7000000000000001,1
S0133a,X,bp_03_09_pol,PR,0.5901924033886667,0.5901924033886667,0.05,1
S0133a,X,bp_03_09_pol,PZ,0.42079213469148563,0.42079213469148563,0.45,1
S0133a,X,bp_03_09_pol,ST,0.6947481399391947,0.6947481399391947,3.95,1
S0133a,X,bp_03_09_pol,SZ,0.6185806002401658,0.6185806002401658,1.3,1
S0133a,X,raw,PR,0.431555003353918,0.431555003353918,4.5,1
S0133a,X,raw,PZ,0.33895124930023157,0.33895124930023157,5.0,1
S0133a,X,raw,ST,0.14819448855949705,0.14819448855949705,4.75,1
S0133a,X,raw,SZ,0.5730206108387788,0.5730206108387788,0.7000000000000001,1
S0152a,Best17,bp_01_05,PR,0.21903961351777418,0.21903961351777418,4.75,1
S0152a,Best17,bp_01_05,PZ,0.6263936314311044,0.6263936314311044,2.0500000000000003,1
S0152a,Best17,bp_01_05,ST,0.17358327280186414,0.17358327280186414,5.0,1
S0152a,Best17,bp_01_05,SZ,0.1713340305615696,0.1713340305615696,1.0,1
S0152a,Best17,bp_01_08,PR,0.5633736495712345,0.5633736495712345,4.95,1
S0152a,Best17,bp_01_08,PZ,0.8704883489348582,0.8704883489348582,1.1,1
S0152a,Best17,bp_01_08,ST,0.6528442359977176,0.6528442359977176,4.5,1
S0152a,Best17,bp_01_08,SZ,0.6399168021392851,0.6399168021392851,2.85,1
S0152a,Best17,bp_03_09,PR,0.6140690325679782,0.6140690325679782,3.1,1
S0152a,Best17,bp_03_09,PZ,0.9159886383761139,0.9159886383761139,1.05,1
S0152a,Best17,bp_03_09,ST,0.9251725568809859,0.9251725568809859,4.55,1
S0152a,Best17,bp_03_09,SZ,0.725997428708663,0.725997428708663,2.85,1
S0152a,Best17,bp_03_09_pol,PR,0.9058990853842299,0.9058990853842299,2.25,1
S0152a,Best17,bp_03_09_pol,PZ,0.8981161008902923,0.8981161008902923,0.25,1
S0152a,Best17,bp_03_09_pol,ST,0.9463360071601273,0.9463360071601273,4.55,1
S0152a,Best17,bp_03_09_pol,SZ,0.7129244063383927,0.7129244063383927,2.85,1
S0152a,Best17,raw,PR,0.4778583095873173,0.4778583095873173,5.0,1
S0152a,Best17,raw,PZ,0.8382691443535899,0.8382691443535899,1.05,1
