model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model840,/home/lyara/areswave/models_short/Geophysical_model840.nd,nd,UNK,,,950.057,60.0,900.0,178.01199999999994,950.057,60.0,1133.601,33.371000000000095,1682.084,60.0,0.5821108804264001,0.550376423667582,0.5609545759205213,0.41788911957359975,0.4496235763324181,5
Geophysical_model750,/home/lyara/areswave/models_short/Geophysical_model750.nd,nd,UNK,,,916.648,60.0,877.568,179.45600000000002,916.648,60.0,1116.419,16.64799999999991,1680.704,60.0,0.5598239760494955,0.5629037176574478,0.5618771371214638,0.4401760239505045,0.43709628234255227,5
Geophysical_model380,/home/lyara/areswave/models_short/Geophysical_model380.nd,nd,UNK,,,1047.105,60.0,900.0,187.49099999999999,1047.105,60.0,1145.175,32.690000000000055,1669.744,60.0,0.48591712792794367,0.6005106839148873,0.5623128319192394,0.5140828720720563,0.3994893160851128,5
Geophysical_model530,/home/lyara/areswave/models_short/Geophysical_model530.nd,nd,UNK,,,1086.696,60.0,900.0,21.399999999999977,1086.696,60.0,1103.669,16.97199999999998,1692.465,60.0,0.5968458400434817,0.5483093930756201,0.564488208731574,0.4031541599565183,0.4516906069243799,5
Geophysical_model600,/home/lyara/areswave/models_short/Geophysical_model600.nd,nd,UNK,,,1098.51,60.0,900.0,23.878000000000043,1098.51,60.0,1115.052,16.54300000000012,1676.896,60.0,0.5566933063797002,0.5693756841164956,0.5651482248708971,0.4433066936202998,0.4306243158835043,5
Geophysical_model470,/home/lyara/areswave/models_short/Geophysical_model470.nd,nd,UNK,,,1063.97,60.0,900.0,188.42200000000003,1063.97,60.0,1145.955,32.79399999999987,1671.628,60.0,0.5556512071004072,0.5719643506540596,0.5665266361361755,0.44434879289959284,0.4280356493459405,5
Geophysical_model210,/home/lyara/areswave/models_short/Geophysical_model210.nd,nd,UNK,,,984.407,60.0,861.669,191.654,984.407,60.0,1119.457,33.76299999999992,1689.167,60.0,0.4953781832630648,0.6025068909692782,0.5667973217338738,0.5046218167369352,0.3974931090307217,5
Geophysical_model230,/home/lyara/areswave/models_short/Geophysical_model230.nd,nd,UNK,,,949.483,60.0,900.0,193.52599999999995,949.483,60.0,1114.426,16.494000000000142,1675.15,60.0,0.5089189605037643,0.5965160262816699,0.5673170043557013,0.49108103949623566,0.4034839737183301,5
Geophysical_model550,/home/lyara/areswave/models_short/Geophysical_model550.nd,nd,UNK,,,1099.489,60.0,900.0,20.990999999999985,1099.489,60.0,1116.113,16.624000000000024,1679.849,60.0,0.4682639856491768,0.6194129231525899,0.5690299439847856,0.5317360143508232,0.3805870768474101,5
Geophysical_model510,/home/lyara/areswave/models_short/Geophysical_model510.nd,nd,UNK,,,1083.742,60.0,900.0,21.40300000000002,1083.742,60.0,1100.446,16.70400000000018,1682.74,60.0,0.5721604929986326,0.5689272020719771,0.5700049657141956,0.42783950700136747,0.43107279792802294,5
Geophysical_model280,/home/lyara/areswave/models_short/Geophysical_model280.nd,nd,UNK,,,999.558,60.0,878.735,191.38400000000001,999.558,60.0,1115.708,16.592999999999847,1678.723,60.0,0.43274753947446704,0.6398160066749282,0.5707931842747745,0.5672524605255329,0.3601839933250718,5
Geophysical_model740,/home/lyara/areswave/models_short/Geophysical_model740.nd,nd,UNK,,,1098.51,60.0,900.0,23.918000000000006,1098.51,60.0,1115.052,16.54300000000012,1676.896,60.0,0.44617752377685793,0.633404621064029,0.5709955886349719,0.5538224762231421,0.36659537893597116,5
Geophysical_model80,/home/lyara/areswave/models_short/Geophysical_model80.nd,nd,UNK,,,1016.377,60.0,900.0,199.21400000000006,1016.377,60.0,1132.755,33.251000000000204,1679.896,60.0,0.46434696775225426,0.6279625823238408,0.5734240441333119,0.5356530322477457,0.3720374176761592,5
Geophysical_model20,/home/lyara/areswave/models_short/Geophysical_model20.nd,nd,UNK,,,966.664,60.0,900.0,186.70399999999995,966.664,60.0,1116.657,16.666000000000167,1681.365,60.0,0.4708174148390084,0.6250809742176984,0.573659787758135,0.5291825851609916,0.3749190257823017,5
Geophysical_model110,/home/lyara/areswave/models_short/Geophysical_model110.nd,nd,UNK,,,1032.978,60.0,900.0,189.19899999999996,1032.978,60.0,1132.711,33.24400000000014,1679.782,60.0,0.5444562312286255,0.5918229433231711,0.576034039291656,0.4555437687713745,0.4081770566768289,5
